#Read position (bp)	Clipping profile
0.0	10.048354758815899
1.0	1.8398396037268547
2.0	1.5567873569996462
3.0	1.0142705507724967
4.0	0.9199198018634274
5.0	0.8373628965679916
6.0	0.8019813657270904
7.0	0.7783936784998231
8.0	0.7430121476589221
9.0	0.7312183040452884
10.0	0.6840429295907536
11.0	0.6840429295907536
12.0	0.6840429295907536
13.0	0.6840429295907536
14.0	0.67224908597712
15.0	0.6486613987498526
16.0	0.6014860242953178
17.0	0.6014860242953178
18.0	0.6014860242953178
19.0	0.5778983370680505
20.0	0.4245783700908126
21.0	0.41278452647717895
22.0	0.4009906828635452
23.0	0.3656091520226442
24.0	0.35381530840901054
25.0	0.3184337775681095
26.0	0.2830522467272084
27.0	0.2830522467272084
28.0	0.27125840311357474
29.0	0.27125840311357474
30.0	0.27125840311357474
31.0	0.25946455949994107
32.0	0.24767071588630735
33.0	0.22408302865904
34.0	0.22408302865904
35.0	0.22408302865904
36.0	0.22408302865904
37.0	0.22408302865904
38.0	0.2004953414317726
39.0	0.2004953414317726
40.0	0.17690765420450527
41.0	0.17690765420450527
42.0	0.17690765420450527
43.0	0.17690765420450527
44.0	0.2004953414317726
45.0	0.2004953414317726
46.0	0.18870149781813894
47.0	0.15331996697723788
48.0	0.1415261233636042
49.0	0.17690765420450527
50.0	0.17690765420450527
51.0	0.18870149781813894
52.0	0.18870149781813894
53.0	0.17690765420450527
54.0	0.17690765420450527
55.0	0.18870149781813894
56.0	0.2004953414317726
57.0	0.2004953414317726
58.0	0.2004953414317726
59.0	0.18870149781813894
60.0	0.18870149781813894
61.0	0.17690765420450527
62.0	0.16511381059087157
63.0	0.16511381059087157
64.0	0.16511381059087157
65.0	0.16511381059087157
66.0	0.16511381059087157
67.0	0.16511381059087157
68.0	0.16511381059087157
69.0	0.16511381059087157
70.0	0.17690765420450527
71.0	0.17690765420450527
72.0	0.2004953414317726
73.0	0.2004953414317726
74.0	0.2122891850454063
75.0	0.22408302865904
76.0	0.22408302865904
77.0	0.2122891850454063
78.0	0.2122891850454063
79.0	0.2122891850454063
80.0	0.2122891850454063
81.0	0.22408302865904
82.0	0.22408302865904
83.0	0.22408302865904
84.0	0.2122891850454063
85.0	0.2122891850454063
86.0	0.2004953414317726
87.0	0.18870149781813894
88.0	0.18870149781813894
89.0	0.18870149781813894
90.0	0.18870149781813894
91.0	0.18870149781813894
92.0	0.18870149781813894
93.0	0.2004953414317726
94.0	0.2004953414317726
95.0	0.2004953414317726
96.0	0.22408302865904
97.0	0.22408302865904
98.0	0.22408302865904
99.0	0.22408302865904
100.0	0.22408302865904
101.0	0.2122891850454063
102.0	0.22408302865904
103.0	0.22408302865904
104.0	0.22408302865904
105.0	0.22408302865904
106.0	0.22408302865904
107.0	0.22408302865904
108.0	0.22408302865904
109.0	0.22408302865904
110.0	0.22408302865904
111.0	0.22408302865904
112.0	0.23587687227267368
113.0	0.23587687227267368
114.0	0.23587687227267368
115.0	0.23587687227267368
116.0	0.24767071588630735
117.0	0.35381530840901054
118.0	0.3774029956362779
119.0	0.3774029956362779
120.0	0.3774029956362779
121.0	0.3774029956362779
122.0	0.38919683924991155
123.0	0.3656091520226442
124.0	0.38919683924991155
125.0	0.38919683924991155
126.0	0.38919683924991155
127.0	0.38919683924991155
128.0	0.3774029956362779
129.0	0.3420214647953768
130.0	0.3420214647953768
131.0	0.30663993395447575
132.0	0.2830522467272084
133.0	0.2948460903408421
134.0	0.2948460903408421
135.0	0.23587687227267368
136.0	0.18870149781813894
137.0	0.17690765420450527
138.0	0.17690765420450527
139.0	0.17690765420450527
140.0	0.17690765420450527
141.0	0.17690765420450527
142.0	0.16511381059087157
143.0	0.16511381059087157
144.0	0.15331996697723788
145.0	0.1415261233636042
146.0	0.1415261233636042
147.0	0.15331996697723788
148.0	0.15331996697723788
149.0	0.16511381059087157
150.0	0.16511381059087157
151.0	0.16511381059087157
152.0	0.15331996697723788
153.0	0.1415261233636042
154.0	0.1415261233636042
155.0	0.1415261233636042
156.0	0.1415261233636042
157.0	0.12973227974997054
158.0	0.1415261233636042
159.0	0.12973227974997054
160.0	0.22408302865904
161.0	0.22408302865904
162.0	0.22408302865904
163.0	0.2004953414317726
164.0	0.18870149781813894
165.0	0.15331996697723788
166.0	0.15331996697723788
167.0	0.15331996697723788
168.0	0.17690765420450527
169.0	0.15331996697723788
170.0	0.1415261233636042
171.0	0.1415261233636042
172.0	0.1415261233636042
173.0	0.1415261233636042
174.0	0.1415261233636042
175.0	0.24767071588630735
176.0	0.25946455949994107
177.0	0.25946455949994107
178.0	0.23587687227267368
179.0	0.22408302865904
180.0	0.2004953414317726
181.0	0.2004953414317726
182.0	0.18870149781813894
183.0	0.18870149781813894
184.0	0.18870149781813894
185.0	0.2004953414317726
186.0	0.18870149781813894
187.0	0.18870149781813894
188.0	0.16511381059087157
189.0	0.1415261233636042
190.0	0.1415261233636042
191.0	0.11793843613633684
192.0	0.08255690529543579
193.0	0.08255690529543579
194.0	0.08255690529543579
195.0	0.11793843613633684
196.0	0.10614459252270315
197.0	0.09435074890906947
198.0	0.09435074890906947
199.0	0.09435074890906947
200.0	0.10614459252270315
201.0	0.10614459252270315
202.0	0.11793843613633684
203.0	0.12973227974997054
204.0	0.10614459252270315
205.0	0.10614459252270315
206.0	0.10614459252270315
207.0	0.10614459252270315
208.0	0.10614459252270315
209.0	0.12973227974997054
210.0	0.12973227974997054
211.0	0.09435074890906947
212.0	0.09435074890906947
213.0	0.09435074890906947
214.0	0.10614459252270315
215.0	0.09435074890906947
216.0	0.10614459252270315
217.0	0.12973227974997054
218.0	0.11793843613633684
219.0	0.10614459252270315
220.0	0.09435074890906947
221.0	0.08255690529543579
222.0	0.0707630616818021
223.0	0.12973227974997054
224.0	0.18870149781813894
225.0	0.2830522467272084
226.0	0.9081259582497937
227.0	1.1204151432951999
228.0	1.1204151432951999
229.0	1.1440028305224674
230.0	1.155796674136101
231.0	1.1793843613633683
232.0	1.2029720485906357
233.0	1.1204151432951999
234.0	1.1440028305224674
235.0	1.1440028305224674
236.0	1.1322089869088336
237.0	1.2383535794315368
238.0	1.2383535794315368
239.0	1.4152612336360422
240.0	1.3916735464087746
241.0	1.4152612336360422
242.0	1.4388489208633095
243.0	1.4742304517042104
244.0	1.4388489208633095
245.0	1.4152612336360422
246.0	1.4624366080905769
247.0	1.5096119825451115
248.0	1.603962731454181
249.0	1.8398396037268547
250.0	1.8398396037268547
