#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	1.762269803506917E-4
20.0	0.0
21.0	6.167944312274209E-4
22.0	6.167944312274209E-4
23.0	7.930214115781126E-4
24.0	2.643404705260375E-4
25.0	0.0017622698035069167
26.0	0.002819631685611067
27.0	0.00572737686139748
28.0	0.012776456075425147
29.0	0.013128910036126531
30.0	0.014803066349458101
31.0	0.01674156313331571
32.0	0.027227068464181867
33.0	0.029782359679266898
34.0	0.03462860163891092
35.0	0.049255441008018326
36.0	0.03947484359855494
37.0	0.05559961230064324
38.0	0.04573090140100449
39.0	0.035245396070138345
40.0	0.030839721561371044
41.0	0.027667635915058598
42.0	0.023261961406291304
43.0	0.01779892501541986
44.0	0.026257820072253066
45.0	0.041060886421711164
46.0	0.022733280465239224
47.0	0.02123535113225835
48.0	0.024319323288395454
49.0	0.019649308309102123
50.0	0.019208740858225395
51.0	0.022204599524187154
52.0	0.016389109172614328
53.0	0.021764032073310423
54.0	0.030399154110494316
55.0	0.030751608071195702
56.0	0.006432284782800246
57.0	0.027667635915058598
58.0	0.027579522424883245
59.0	0.021940259053661117
60.0	0.014538725878932065
61.0	0.009604370429112698
62.0	0.014098158428055334
63.0	0.02837254383646136
64.0	0.012159661644197727
65.0	0.009604370429112698
66.0	0.005639263371222134
67.0	0.0075777601550797435
68.0	0.014803066349458101
69.0	0.004758128469468674
70.0	0.003083972156137104
71.0	0.0018503832936822625
72.0	0.00105736188210415
73.0	8.811349017534585E-4
74.0	9.692483919288043E-4
75.0	0.0028196316856110666
76.0	7.049079214027668E-4
77.0	8.811349017534585E-4
78.0	2.643404705260375E-4
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
