#Coverage (X)	Coverage
1.0	91.68788410886742
2.0	90.8066286215979
3.0	88.53819139596138
4.0	88.33955223880596
5.0	86.49582967515364
6.0	86.34877085162424
7.0	85.17559262510974
8.0	84.72344161545215
9.0	84.0188762071993
10.0	83.63257243195785
11.0	82.31892010535557
12.0	81.64398595258999
13.0	80.40496049165935
14.0	79.87050043898157
15.0	79.00241439859526
16.0	78.62050043898157
17.0	77.28819139596138
18.0	76.98748902546093
19.0	75.92734855136084
20.0	75.5223880597015
21.0	74.7157594381036
22.0	74.13520632133451
23.0	72.49012291483758
24.0	71.94907813871818
25.0	71.33121158911327
26.0	70.86918349429325
27.0	69.97585601404742
28.0	69.6422300263389
29.0	68.25943810359965
30.0	67.79850746268657
31.0	66.86347673397718
32.0	66.60557506584723
33.0	65.2260755048288
34.0	64.8101404741001
35.0	64.34701492537314
36.0	63.85864793678667
37.0	63.27260755048289
38.0	62.61194029850747
39.0	61.74385425812117
40.0	61.334503950834076
41.0	60.240342405618975
42.0	59.76514486391573
43.0	58.848770851624245
44.0	58.33735733099211
45.0	57.67888498683057
46.0	57.320017559262524
47.0	56.705443371378415
48.0	56.394863915715554
49.0	56.0173397717296
50.0	55.76602282704128
51.0	55.183274802458314
