	B.I	BY.I	B.C	BY.C	B.C	B.I	BY.I	BY.C	BY.C	B.C	BY.I	B.I	B.I	BY.I	BY.C	B.C
ILMN_2876010	1049.03378125	1467.699125	1065.40696875	955.69085625	1001.36695	972.734025	1464.879	868.936125	1123.47035	1069.8680125	1416.0072125	1021.62443125	1056.7428375	1577.917625	1001.36695	1226.33259375
ILMN_2932474	219.13505625	204.95320625	182.10419375	225.768425	163.41111875	189.73489375	200.7246625	184.49761875	184.49761875	214.38885	217.59455	200.7246625	229.88585625	216.00235625	211.808925	190.51620625
ILMN_2597248	531.53671875	491.08171875	454.602775	411.01455625	455.44276875	523.6465625	493.5442	382.43631875	351.55851875	473.52364375	479.6173875	591.56195625	578.27779375	426.63545	403.4728625	465.2150125
ILMN_2737381	150.51230625	176.556675	143.50841875	165.4697625	132.698425	162.6555875	152.90356875	167.0412125	163.95495625	145.45378125	169.4552375	148.8364625	152.22359375	161.551425	161.81215625	143.68168125
ILMN_1240537	150.64725625	158.86419375	108.418080625	124.97909375	109.37994875	137.077675	121.52119	148.21475	142.0322125	152.1062	144.14700625	167.7883625	137.2026125	140.8878375	120.172779375	134.18521875
ILMN_2629718	392.08263125	440.4020125	431.16281875	377.57789375	518.60681875	433.41804375	446.23766875	399.899675	384.34065	475.084675	380.48959375	477.51089375	428.2162625	376.90229375	361.62028125	409.6476375
ILMN_3105343	690.38670625	831.99635	693.96675625	638.36458125	630.68256875	816.19315625	713.79743125	661.9242375	736.02556875	745.71349375	778.8566	908.8836125	780.5475	796.67608125	691.70765625	716.28623125
ILMN_2854157	127.68379375	127.4141875	110.27779375	98.66685125	107.814646875	169.04061875	111.32158375	109.487064375	108.689604375	111.7404775	124.97909375	137.5014625	178.81230625	96.479358125	101.583679375	127.72565625
ILMN_1246992	1786.308875	1761.7409375	1786.308875	1880.222375	1716.46775	1665.832375	1588.2665625	2016.9168125	1952.964125	2089.5956875	1812.93475	1848.017125	1825.6773125	1778.81175	1751.0855	1997.4680625
ILMN_2737771	97.71902875	98.098093125	119.900904375	131.80700625	129.7814125	120.172779375	138.2094375	134.479925	121.307835625	122.50006875	109.448013125	116.5506525	120.787834375	93.801605	137.3024375	136.61658125
ILMN_2746000	225.11594375	272.3043875	224.75283125	189.473275	212.56733125	261.69506875	243.336	228.82529375	223.72760625	222.66893125	230.76646875	208.8861375	232.98231875	221.5099	204.95320625	220.50859375
ILMN_3139103	803.50789375	882.26715625	579.1233125	844.16524375	543.97434375	841.8968125	924.4569875	880.3431	952.8408625	706.28880625	1146.39284375	910.37574375	915.24975	1031.5182875	958.827475	854.31285625
ILMN_2589838	506.4152125	568.67436875	583.84518125	591.56195625	538.40756875	468.86593125	563.63728125	579.95534375	615.6507375	579.1233125	577.3044	536.63215625	588.53715	559.57819375	583.84518125	621.29355
ILMN_2713060	1610.26175	1585.203875	2154.306	2297.81	1868.818125	1654.4488125	1668.6805625	2448.833375	1994.359875	1751.0855	1399.6960125	1790.375375	1315.989225	1544.4166875	1928.6761875	2082.9988125
ILMN_2965123	353.06145	330.25861875	322.15643125	287.97133125	390.72719375	355.19934375	369.6460875	296.89524375	276.746625	298.81056875	284.88960625	302.0011375	354.05960625	294.61255625	289.4902375	332.17845625
ILMN_3122864	333.580125	359.38050625	428.86770625	341.124375	362.3423375	376.90229375	335.58544375	344.83418125	338.01579375	346.84835	320.96831875	382.43631875	338.01579375	319.296625	368.69168125	356.32760625
ILMN_2874422	296.50191875	221.5099	265.969925	253.8598	324.59301875	241.2465625	242.168325	264.523	214.999475	295.17453125	225.11594375	247.27466875	239.0553	263.5487875	232.463875	230.4721
ILMN_2914347	117.7128925	135.1378125	149.3582875	162.80370625	145.898675	153.46726875	118.15266125	143.6057375	155.31084375	135.92853125	108.9940325	144.53268125	133.9557875	167.33055625	173.61805	129.44345
ILMN_2776700	162.4788625	141.49523125	130.4140875	191.9776875	153.46726875	160.48074375	177.13383125	176.556675	162.934825	141.26234375	190.9587625	170.992825	167.0412125	217.59455	179.79511875	126.79658125
ILMN_1222607	1668.6805625	1541.624625	1964.982125	1859.51175	1599.0994375	1719.596	1443.8409375	1799.4763125	1716.46775	1700.66975	1644.4888125	1786.308875	1515.7341875	1651.4259375	1781.5615	1691.932625
ILMN_1243752	1928.6761875	1964.982125	1812.93475	1532.028875	1829.6575625	1802.7274375	1981.51975	1812.93475	1684.229	1729.3028125	1790.375375	2158.863875	2042.1346875	1952.964125	1747.868375	1712.4669375
ILMN_1246298	125.36169375	114.643075	157.56325625	150.11764375	127.9695	130.45783125	127.4141875	149.02734375	150.11764375	137.077675	139.41925	115.243696875	117.29396875	142.114375	149.21289375	124.14365
ILMN_2919777	1884.99275	1563.394625	1825.6773125	1467.699125	2491.2391875	1851.1645625	1651.4259375	1610.26175	1491.8528125	1593.675875	1255.287775	1716.46775	1884.99275	1429.7836125	1436.6275	1630.3749375
ILMN_2875251	406.25033125	386.241725	287.97133125	250.01338125	279.61274375	309.742025	372.341475	319.52645625	330.25861875	302.4367625	364.36604375	327.851675	414.16425625	388.29455	304.5775125	336.88030625
ILMN_3150296	389.97513125	423.20989375	342.5941	392.65998125	363.591075	393.157475	467.39164375	466.434675	432.68891875	389.59186875	438.60243125	436.32871875	431.7225875	492.8494125	451.59918125	324.18878125
ILMN_2677065	141.90628125	160.23875	155.432225	140.1893	146.0064625	140.504525	163.10266875	133.87325625	118.39256	164.552225	137.35951875	153.8393625	162.286325	130.97268125	134.32206875	160.23875
ILMN_2984647	1691.932625	1630.3749375	1565.7745625	1288.97909375	1909.405	1675.8665625	1778.81175	1377.04380625	1541.624625	1565.7745625	1470.9896875	1560.8211875	1994.359875	1470.9896875	1485.9148125	1793.433875
ILMN_3095257	571.6147875	584.78806875	661.9242375	762.295575	622.424775	543.2651625	560.8079	785.55970625	819.3952875	569.2850875	567.74288125	579.1233125	541.213475	608.020025	725.7171625	690.38670625
ILMN_2731592	107.973544375	124.85291875	116.987925	128.2565	110.486279375	108.30596375	105.904315625	108.11154125	117.7128925	102.840029375	112.6187175	102.30998375	100.3090925	106.286755625	147.39860625	133.56350625
ILMN_1258998	166.49685	172.0150375	190.76133125	167.7883625	185.25490625	175.28598125	149.48900625	240.45228125	194.767025	191.631825	172.353225	144.9504375	177.622125	212.77806875	238.31953125	251.9778875
ILMN_2635260	121.653625	139.7600375	142.48908125	185.0267625	116.75566875	135.92853125	143.9201875	167.96165625	204.6013	120.867783125	198.537425	130.97268125	144.7298375	189.26159375	157.9106125	141.3552625
ILMN_2629648	490.5482625	369.0737	477.51089375	543.2651625	541.213475	492.8494125	445.23834375	457.2691	496.135925	459.588925	432.08651875	554.6096625	457.93085	389.97513125	555.743425	475.084675
ILMN_2610810	253.16974375	217.9913875	227.120325	204.6013	226.39001875	204.95320625	229.5596375	188.73664375	200.1958	219.84864375	210.16245625	230.0987875	276.746625	221.24006875	202.26374375	204.6013
ILMN_2767227	1325.81468125	1065.40696875	1226.33259375	1382.81021875	1342.66180625	1205.7586875	1135.64869375	1429.7836125	1308.2683375	1423.25485	1328.9357	1128.48683125	1237.64559375	1244.2882125	1416.0072125	1231.54114375
ILMN_2742293	1226.33259375	1331.98633125	1279.10915	1377.04380625	1379.9554375	1298.1607625	1405.39675625	1325.81468125	1359.73494375	1253.613975	1488.5588125	1269.33360625	1298.1607625	1499.0845625	1440.767375	1217.59461875
ILMN_3163572	190.9587625	231.05068125	219.84864375	174.6676875	196.22610625	215.26519375	187.40104375	192.157875	190.76133125	201.62113125	178.5243375	209.32098125	225.11594375	184.0525875	195.2914625	203.16753125
ILMN_2839313	236.61770625	289.80645	148.575225	138.10944375	151.9914375	183.22048125	302.9173875	171.83655	161.551425	147.05875	219.84864375	260.86174375	220.33043125	210.29248125	141.10776875	211.3284125
ILMN_3127704	220.33043125	203.0263	226.2570875	228.051775	203.9486375	197.96421875	169.04061875	223.72760625	224.75283125	213.347025	193.07526875	203.36625	205.3047125	202.7771	205.3047125	211.808925
ILMN_2917540	2890.73225	2533.3731875	2721.8628125	2305.095875	3186.193375	2800.7055	2850.1111875	2258.226875	2125.5966875	2641.6040625	2364.6356875	2731.420875	2582.3805	2334.2050625	2369.0618125	2468.7893125
ILMN_2712427	482.1791625	509.714725	513.18336875	510.5569375	446.23766875	485.53976875	513.72638125	545.7415125	503.5053625	485.53976875	492.318275	593.64370625	468.86593125	660.82371875	627.058775	460.98259375
ILMN_3160750	110.746616875	105.504701875	130.45783125	119.23269	143.9201875	122.31927	112.6187175	126.79658125	137.077675	116.82452	99.08414	119.53205625	103.526888125	121.24155375	133.56350625	115.83833375
ILMN_2679591	136.61658125	132.896825	158.6875	164.3968125	144.53268125	135.840375	145.79421875	198.2266625	170.387425	156.49079375	134.18521875	163.95495625	132.9463	136.89603125	164.74565625	141.10776875
ILMN_1247302	244.36269375	208.2482625	224.416875	216.00235625	248.81170625	226.0137125	214.13316875	218.7287625	215.6734625	210.16245625	210.5832875	255.342925	262.67929375	216.67686875	243.86538125	218.5558625
ILMN_2799667	2881.650875	2939.1021875	2631.082625	2461.6148125	2721.8628125	2809.6363125	3216.0641875	2364.6356875	2305.095875	2608.4428125	2955.6293125	2770.389	2907.421375	2928.994125	2183.460125	2681.920625
ILMN_2904819	3883.6430625	3699.664375	3031.3415	3331.7243125	3367.8920625	3996.876	3796.041	3508.3631875	3592.45975	3041.47075	3699.664375	4036.32475	3834.3006875	4059.5295	3526.0949375	3186.193375
ILMN_2761181	10724.79525	10574.6365	10210.935875	10127.8905625	10127.8905625	11659.052625	11173.0176875	10443.30125	10210.935875	10841.250625	12195.6165625	11230.1335625	10958.433125	11173.0176875	10724.79525	10443.30125
ILMN_1226520	282.30319375	336.88030625	317.6047375	272.3043875	352.044	262.09323125	386.81351875	308.76860625	243.64128125	322.65033125	423.20989375	261.69506875	265.15980625	422.1692375	297.20371875	219.43544375
ILMN_1244424	146.0064625	147.701675	127.9695	128.63870625	118.15266125	128.2565	165.20645625	133.379225	143.8182375	140.504525	175.1317625	111.979923125	145.45378125	144.9504375	142.83349375	138.33310625
ILMN_2958099	19803.4675	19253.191875	19803.4675	20822.085625	20157.430625	19803.4675	17009.528125	20822.085625	20157.430625	20157.430625	18650.413125	19803.4675	17526.455625	15649.82375	19253.191875	21368.33875
ILMN_3093622	122.93675	105.28630125	120.867783125	140.599075	94.271165625	119.609384375	146.9285625	147.93004375	124.6910875	124.85291875	123.17825	120.403178125	129.37900625	127.2450625	138.0079125	123.5136625
ILMN_3125764	285.79318125	333.03789375	112.89919625	115.570525	151.29939375	277.15685625	281.8167875	150.11764375	215.532425	152.90356875	334.64200625	276.421125	328.90161875	382.0394125	149.99069375	167.203
ILMN_1235196	272.3043875	287.97133125	291.65074375	284.88960625	249.19909375	311.60259375	255.71478125	292.0348375	342.17348125	338.01579375	215.6734625	358.44570625	313.27270625	257.3934125	304.13445625	328.90161875
ILMN_2700126	177.32429375	179.20448125	202.7771	212.56733125	200.4274125	195.500075	163.95495625	213.347025	225.11594375	196.47584375	259.10294375	173.61805	160.23875	263.31391875	257.83005	142.3656125
ILMN_2725807	494.73205	427.6186125	544.86930625	517.529525	543.2651625	494.18310625	486.43069375	473.52364375	538.40756875	476.99363125	374.27375	364.36604375	479.6173875	543.97434375	466.434675	490.5482625
ILMN_1223327	108.0295425	110.27779375	107.661280625	146.69515625	94.81676375	97.700478125	133.0385625	111.979923125	114.4755325	95.7701925	132.30241875	116.415918125	113.562564375	125.88055625	116.13573125	90.783840625
ILMN_2790512	578.27779375	677.79639375	597.95865625	685.93454375	568.67436875	587.55103125	672.2165125	684.55906875	732.0853625	612.4552625	741.15223125	681.12016875	661.9242375	713.79743125	739.25601875	654.93716875
ILMN_1248657	341.124375	361.06348125	418.11000625	355.19934375	399.899675	382.43631875	369.0737	410.47876875	371.5558125	393.7152125	325.01405625	340.65205625	321.4583	340.10790625	418.11000625	480.9888125
ILMN_1245813	446.23766875	605.86194375	442.89155	428.86770625	410.47876875	437.71665625	684.55906875	418.7329625	448.8247125	471.9612875	645.18645625	420.2161375	453.05573125	728.21921875	405.04731875	480.16580625
ILMN_1258638	173.61805	138.493975	169.214	214.999475	178.96955	161.81215625	144.14700625	195.13283125	198.73825	159.3464375	160.23875	178.81230625	155.432225	167.7883625	203.36625	176.31839375
ILMN_2695526	1075.377725	1044.1645625	1002.61314375	882.26715625	1597.03825	1032.766675	1115.814175	857.74695625	913.7848	1185.554375	703.5802625	873.73599375	1144.45039375	754.62749375	896.56195625	1086.60641875
ILMN_1235751	1091.12875625	984.3163125	1163.75175	1054.36065625	1231.54114375	1172.722225	1061.20106875	1054.36065625	1009.5939125	1128.48683125	1025.50926875	1091.12875625	964.61938125	962.9292375	968.52038125	1342.66180625
ILMN_1249032	1574.8205625	1601.894875	2214.44325	1544.4166875	1812.93475	1440.767375	1457.8441875	1433.597	1157.0028125	1723.53475	1157.0028125	1729.3028125	1098.48106875	1220.88975625	1288.97909375	1418.00461875
ILMN_1240735	254.36886875	310.557075	289.80645	308.03741875	327.851675	244.12235625	289.80645	266.54350625	271.34849375	321.4583	325.4101375	235.43113125	299.09469375	323.41438125	291.65074375	312.7451875
ILMN_1232195	178.28668125	184.27898125	229.10846875	255.342925	201.32313125	167.96165625	154.55408125	205.81603125	225.29593125	223.62086875	194.767025	160.37689375	165.765375	195.500075	204.0911625	198.2266625
ILMN_3052726	219.84864375	260.86174375	234.86673125	293.85094375	208.02386875	226.68588125	308.76860625	283.540325	296.03155	233.4838625	304.96008125	310.557075	312.7451875	296.89524375	292.76560625	226.2570875
ILMN_3160792	9169.2155	9065.637	8492.1395	6791.54225	9671.8816875	9249.246625	9346.0995	6716.896125	6716.896125	8907.919	7504.3965	9065.637	9346.0995	7630.668	6520.82825	8907.919
ILMN_2617775	182.71784375	194.641925	169.34339375	223.28705625	175.49864375	215.6734625	181.23368125	205.3047125	201.08705	178.28668125	194.2015	163.10266875	204.81031875	204.0911625	182.32083125	177.977475
ILMN_1247585	121.37270625	112.970866875	147.701675	129.95585625	124.6910875	116.87479875	109.279330625	132.698425	119.609384375	138.70476875	99.843674375	119.161096875	120.867783125	132.00056875	117.370764375	146.47023125
ILMN_1216842	169.65194375	152.1062	150.64725625	160.10634375	111.61705875	161.04661875	160.77475625	177.622125	171.22390625	153.038975	179.673275	166.7155	170.2017375	158.05190625	154.42223125	134.66733125
ILMN_2627557	629.7449375	709.30966875	747.19006875	732.0853625	739.25601875	715.03693125	614.66899375	900.229325	784.02243125	716.28623125	601.04705625	709.30966875	657.738425	567.74288125	665.2559875	952.8408625
ILMN_2706014	198.73825	219.84864375	214.38885	220.8166125	224.07854375	214.38885	295.17453125	320.96831875	257.3934125	230.0987875	203.36625	193.3669875	180.15525625	192.157875	195.13283125	260.1345875
ILMN_1230505	173.1835875	197.96421875	212.77806875	294.1801625	199.27065	189.08605625	166.325525	228.38930625	242.38879375	232.463875	208.8861375	216.40799375	182.71784375	205.81603125	227.4998625	243.86538125
ILMN_2733356	999.8791	917.37219375	1017.5196	1028.2021375	896.56195625	948.13583125	928.73256875	1008.09605625	936.561775	1161.1970625	932.24933125	1054.36065625	968.52038125	952.8408625	1115.814175	1220.88975625
ILMN_1255564	172.353225	160.6173125	203.36625	224.07854375	214.87245625	176.8443625	180.15525625	257.83005	200.4274125	213.04775625	148.0848125	167.0412125	164.19486875	176.7156375	219.43544375	258.75729375
ILMN_2690772	814.58774375	867.3996875	759.58360625	787.17976875	803.50789375	845.59393125	903.982275	766.57840625	886.00486875	788.81949375	867.3996875	808.3092375	860.29973125	787.17976875	744.27988125	754.62749375
ILMN_1257485	739.25601875	608.020025	608.020025	588.53715	660.82371875	639.4019375	607.033175	637.1031	574.9033	666.30194375	609.015525	569.2850875	652.601775	647.28489375	579.1233125	664.2749
ILMN_3116330	2864.5063125	2710.1726875	3007.439625	2827.8411875	3353.5210625	2838.8095625	2827.8411875	3104.4561875	3074.407375	3331.7243125	2850.1111875	2907.421375	2792.5048125	2939.1021875	3074.407375	2838.8095625
ILMN_2642517	610.8717375	647.28489375	557.51616875	652.601775	420.80611875	627.058775	701.97584375	603.75543125	691.70765625	543.2651625	758.1567625	607.033175	678.67405625	596.8079375	656.59380625	560.8079
ILMN_2877367	21368.33875	21368.33875	18287.449375	21883.9125	20822.085625	20157.430625	19803.4675	21883.9125	23872.526875	19253.191875	23872.526875	20157.430625	21883.9125	24643.0425	22662.46875	20157.430625
ILMN_2718974	1577.917625	1544.4166875	1761.7409375	1635.846125	1695.865	1700.66975	1621.1950625	1539.848	1464.879	1868.818125	1526.519875	1808.6184375	1556.765375	1581.35175	1588.2665625	1560.8211875
ILMN_2756157	190.51620625	176.31839375	176.556675	230.0987875	202.26374375	170.992825	197.75609375	221.015275	207.04245	175.28598125	241.0027875	218.25731875	236.61770625	276.12820625	223.62086875	189.890575
ILMN_2640453	281.32585625	251.62058125	260.1345875	240.04690625	298.81056875	257.3934125	262.94540625	267.27683125	235.79373125	292.76560625	247.57271875	284.58690625	247.27466875	227.4998625	269.0900875	257.63335
ILMN_2645865	200.7246625	180.70965	225.11594375	216.40799375	170.2017375	167.203	159.3464375	222.66893125	241.90995	224.07854375	178.28668125	204.4481	189.08605625	198.73825	235.43113125	236.95804375
ILMN_2672767	357.68119375	354.61660625	404.7403875	504.2750375	300.13343125	351.55851875	439.20473125	442.1013375	551.0910625	350.2464875	528.659375	436.96919375	438.60243125	473.52364375	663.46655	431.16281875
ILMN_2959729	1098.48106875	1340.43134375	1044.1645625	1021.62443125	843.17844375	952.8408625	1080.43248125	1052.4328875	986.313625	930.27695625	936.561775	932.24933125	917.37219375	1065.40696875	932.24933125	712.6582
ILMN_2674228	356.32760625	351.55851875	339.5567875	296.89524375	373.78556875	366.8749875	335.0616875	282.30319375	319.296625	311.60259375	315.527125	325.4101375	353.06145	252.4631	318.36661875	340.65205625
ILMN_2669982	2325.05	2172.82875	1773.0195	1481.7319375	1510.2215	2082.9988125	2183.460125	1680.0055	1577.917625	1529.5255625	2148.8818125	1914.436125	2164.478	2426.33675	1668.6805625	1758.3530625
ILMN_2748850	513.72638125	610.22988125	646.166675	968.52038125	645.18645625	656.59380625	569.9199	1119.3327375	973.91274375	932.24933125	803.50789375	603.75543125	725.7171625	446.799425	1183.2926625	1104.645125
ILMN_2781118	391.4559875	385.60209375	426.63545	402.26533125	513.72638125	363.591075	432.08651875	389.97513125	418.11000625	413.6796125	365.57460625	386.241725	388.29455	349.2293625	524.4077875	388.29455
ILMN_2686975	1944.8068125	1778.81175	1796.3114375	1767.103375	2125.5966875	1895.11975	1729.3028125	1758.3530625	1905.974125	1952.964125	1778.81175	2056.9218125	1855.0858125	1716.46775	1851.1645625	2214.44325
ILMN_2751248	145.28875625	151.8665125	147.39860625	155.0321	164.74565625	140.97510625	130.90685	153.34843125	161.04661875	159.17185	162.80370625	137.88758125	143.6057375	131.49894375	178.14129375	156.2078125
ILMN_3006644	1146.39284375	1045.9207875	1599.0994375	1510.2215	1188.904225	1109.27059375	1083.9575	1290.79334375	1223.86389375	1392.73844375	1133.0493375	1174.17459375	986.313625	964.61938125	1294.65333125	1272.7707375
ILMN_1217827	1476.0480625	1392.73844375	1420.65530625	1433.597	1723.53475	1563.394625	1304.11341875	1648.387625	1741.11475	1638.406375	1491.8528125	1505.6170625	1532.028875	1610.26175	1729.3028125	1510.2215
ILMN_1250382	259.57115	236.95804375	243.0280375	262.09323125	238.0985	258.75729375	277.15685625	242.168325	248.81170625	221.015275	273.60645	294.1801625	240.692075	273.60645	243.0280375	230.0987875
ILMN_2680628	446.799425	338.47830625	263.91614375	210.5832875	271.0086	409.2603125	319.296625	251.9778875	264.8414125	246.43791875	307.59543125	423.94420625	369.6460875	367.22568125	247.57271875	286.81030625
ILMN_2689138	747.19006875	698.881425	703.5802625	601.77260625	697.11445625	794.63866875	719.046825	645.18645625	657.738425	777.837775	612.4552625	784.02243125	789.96631875	613.71071875	638.36458125	778.8566
ILMN_2738536	9065.637	8907.919	9890.1793125	8640.875375	10333.5746875	8994.49525	9413.28375	10333.5746875	9598.34675	9753.672125	8834.2650625	8834.2650625	9890.1793125	9169.2155	10060.255125	9169.2155
ILMN_1216099	135.5993875	139.87195625	146.69515625	153.34843125	155.68575625	125.36169375	128.63870625	157.216325	126.6088375	145.3389	130.28583125	151.39938125	104.346954375	131.80700625	123.67819375	149.99069375
ILMN_1253452	2618.0886875	2731.420875	2668.906125	2816.5711875	2838.8095625	2553.0296875	2890.73225	2998.837625	3186.193375	2850.1111875	2481.5916875	2264.731375	2758.6666875	2461.6148125	2827.8411875	2881.650875
ILMN_2613696	517.529525	419.286475	494.73205	433.41804375	440.4020125	491.6045875	504.2750375	453.05573125	484.5622625	522.02868125	379.33124375	481.47731875	495.60464375	455.44276875	505.60308125	513.18336875
ILMN_2744356	522.02868125	458.6657375	487.81764375	409.6476375	569.9199	506.4152125	465.2150125	425.43803125	409.6476375	523.6465625	488.60263125	463.44099375	496.93676875	493.5442	424.62724375	492.8494125
ILMN_2676726	228.051775	225.768425	254.36886875	274.6481375	266.98208125	235.25141875	230.0987875	246.22676875	284.88960625	260.86174375	232.463875	239.3336125	228.82529375	203.16753125	272.79385	275.47909375
ILMN_3108440	4452.0114375	4253.6859375	4577.5029375	4706.18725	4951.3425625	4253.6859375	4082.71825	4819.3668125	4758.6421875	5100.66625	4036.32475	4224.2954375	4619.5934375	4224.2954375	4758.6421875	4619.5934375
ILMN_2751158	295.17453125	276.421125	290.319825	267.27683125	241.90995	278.67450625	286.13239375	312.7451875	233.4838625	262.67929375	283.215625	263.31391875	320.96831875	261.69506875	225.11594375	221.015275
ILMN_3036678	201.62113125	199.27065	151.1479625	154.88060625	147.8156375	208.4504625	189.26159375	191.8118125	175.28598125	145.674675	226.0137125	254.36886875	205.81603125	214.13316875	150.78871875	169.04061875
ILMN_2647084	823.80625	812.9982	1117.5936875	1050.89158125	838.49383125	933.34199375	835.00675625	1311.92510625	972.734025	1061.20106875	840.31154375	863.1886875	736.02556875	843.17844375	1071.30986875	1259.73734375
ILMN_1250068	23320.495625	23872.526875	22662.46875	27148.123125	23872.526875	24643.0425	22662.46875	27148.123125	31429.665	24643.0425	28088.250625	24643.0425	25477.855	26401.904375	27148.123125	25477.855
ILMN_3135640	357.10310625	442.89155	315.527125	372.73630625	313.732625	340.10790625	364.36604375	398.8783375	393.157475	339.5567875	466.434675	332.17845625	333.580125	444.0608625	348.09076875	334.0526875
ILMN_1244393	1563.394625	1593.675875	1269.33360625	1459.97975	1453.836625	1712.4669375	1644.4888125	1420.65530625	1453.836625	1517.980125	1841.8780625	1597.03825	1745.095625	1864.5806875	1553.0540625	1585.203875
ILMN_2627205	347.2855875	386.81351875	304.5775125	409.2603125	274.07449375	300.83779375	354.05960625	446.799425	434.11775625	340.65205625	447.55898125	287.97133125	391.4559875	489.587425	406.94613125	251.62058125
ILMN_1257872	3018.412625	3144.962875	3282.743375	3199.676125	3358.915875	2928.994125	3031.3415	3248.2679375	3728.71325	3166.4545	3358.915875	3018.412625	3125.4125	3260.6586875	3384.2715625	3104.4561875
ILMN_2682333	118.9281425	110.010455625	103.629859375	111.4405175	147.05875	126.430475	108.418080625	107.562243125	113.15592625	120.787834375	107.189019375	134.32206875	118.982745625	114.928289375	116.415918125	133.76694375
ILMN_2691982	817.51023125	864.630725	736.02556875	621.29355	778.8566	887.3855875	870.534625	732.0853625	679.91124375	685.93454375	749.09235	878.55406875	923.3045875	730.96755	584.78806875	737.52373125
ILMN_1244908	1723.53475	1741.11475	1185.554375	1512.9835625	1630.3749375	1799.4763125	1745.095625	1585.203875	1581.35175	1657.091625	1737.21975	1488.5588125	1812.93475	1786.308875	1613.5793125	1606.403875
ILMN_2598520	614.66899375	619.76544375	594.5953875	615.6507375	753.64794375	609.015525	603.07173125	569.2850875	639.4019375	719.046825	514.343425	571.6147875	607.033175	569.9199	624.54245	684.55906875
ILMN_2646836	122.31927	142.3656125	161.81215625	157.693625	140.1893	127.4141875	127.28783125	156.38801875	185.25490625	127.80019375	161.551425	141.825175	136.89603125	172.0150375	170.387425	134.2687625
ILMN_2918499	346.84835	347.6172625	335.95439375	362.3423375	296.03155	346.35661875	349.856425	350.950725	402.26533125	336.88030625	348.55784375	314.3022625	374.27375	364.36604375	376.43794375	333.03789375
ILMN_2723474	551.6918875	613.71071875	553.6983625	808.3092375	424.62724375	543.97434375	580.68080625	768.13921875	769.2259125	447.55898125	852.3978375	560.8079	565.08385	829.02494375	707.6533625	548.38800625
ILMN_3155342	132.7850125	134.89306875	129.10061875	146.9285625	116.5506525	133.14736875	98.87488625	109.63701875	138.9548125	148.0848125	107.137295625	127.09165	147.32380625	118.025370625	156.60838125	158.53173125
ILMN_2953513	197.96421875	188.50483125	144.9504375	156.49079375	167.33055625	204.23965625	178.14129375	134.32206875	157.42939375	183.64101875	163.58553125	184.75475625	198.537425	182.32083125	166.325525	142.0322125
ILMN_2624145	1389.53755625	1408.1082625	1213.3972125	1154.72575625	1395.78575	1275.825625	1470.9896875	1085.4797875	1089.18391875	1485.9148125	1461.678875	1188.904225	1416.0072125	1392.73844375	1412.31079375	1172.722225
ILMN_2591853	171.50286875	135.53380625	143.20033125	167.6349875	175.692725	139.15418125	142.9232375	151.9914375	131.80700625	138.9548125	103.079254375	159.17185	160.77475625	152.515875	125.21433125	147.21659375
ILMN_2756628	4880.49925	4327.9955625	4819.3668125	5159.29925	5284.0041875	4964.116125	4166.331375	4995.627	5159.29925	5035.313	4577.5029375	4799.889	4530.4624375	4464.1320625	4706.18725	5316.6859375
ILMN_2696100	112.075176875	121.17253375	116.2029875	128.34369375	95.15692	114.5831625	115.1817375	132.00056875	111.05283625	111.32158375	143.07578125	101.03895	112.6187175	118.7239175	141.825175	109.487064375
ILMN_3000536	215.6734625	176.8443625	226.0137125	184.49761875	225.29593125	203.36625	178.81230625	181.7425875	176.8443625	212.2325375	197.75609375	157.83153125	176.7156375	175.1317625	232.98231875	223.11305
ILMN_1218573	703.5802625	559.57819375	768.13921875	836.24015	836.24015	836.24015	554.6096625	825.27274375	709.30966875	868.936125	652.601775	835.00675625	756.18793125	586.82305	764.2097375	829.02494375
ILMN_2675152	177.7439375	177.32429375	160.37689375	206.84325	140.2900875	184.75475625	178.96955	187.17769375	152.90356875	162.934825	193.3669875	214.87245625	208.614425	201.08705	179.673275	179.79511875
ILMN_2635801	1799.4763125	1654.4488125	1745.095625	1663.08725	1841.8780625	1873.4655625	1571.518	1630.3749375	1832.8898125	1859.51175	1523.2851875	1909.405	1707.034625	1569.421	1786.308875	1914.436125
ILMN_2935734	122.50006875	111.6766175	106.286755625	165.765375	91.301034375	119.3709175	116.345684375	134.18521875	167.0412125	122.41531875	153.695975	104.166151875	110.410105	160.37689375	143.50841875	97.84343
ILMN_2706140	112.970866875	107.661280625	109.123379375	192.6032125	85.8410875	121.12578875	129.55834375	176.8443625	153.8393625	100.673979375	230.4721	142.3656125	121.994118125	189.73489375	186.01159375	94.510800625
ILMN_2997923	2998.837625	2968.9675625	3092.283875	2955.6293125	4016.5993125	3166.4545	2975.30275	3049.8525625	2747.872	3216.0641875	2998.837625	3216.0641875	3144.962875	2668.906125	2890.73225	3166.4545
ILMN_1213026	2148.8818125	1948.114	1758.3530625	1751.0855	1859.51175	1964.982125	1909.405	1808.6184375	1799.4763125	1876.157875	2089.5956875	1829.6575625	2154.306	1981.51975	1712.4669375	1812.93475
ILMN_2696146	163.41111875	162.17669375	184.49761875	174.510375	145.674675	144.53268125	174.942675	207.23683125	169.4552375	190.26230625	153.9696625	165.20645625	163.2424375	186.01159375	193.07526875	145.79421875
